"","car_specs","price","mileage","stringAsFactors"
"264","2024 Jeep Wrangler Rubicon 392 Final Edition 4 Door 4x4","$117,995",NA,FALSE
"265","2024 Volkswagen Jetta Trendline Manual","$26,692",NA,FALSE
"266","2024 Kia Forte EX+","$26,695",NA,FALSE
"267","2024 Mitsubishi RVR ES FWD","$26,698",NA,FALSE
"268","2024 Mitsubishi RVR ES FWD","$26,698",NA,FALSE
"269","2024 Nissan Versa SR","$26,753",NA,FALSE
"270","2024 Volkswagen Jetta Trendline Manual","$26,822",NA,FALSE
"271","2024 Mitsubishi RVR ES FWD","$26,848",NA,FALSE
"272","2024 Nissan Sentra","$26,854",NA,FALSE
"273","2017 Lincoln MKX Reserve","$26,888",NA,FALSE
"274","2024 Mercedes-Benz GLS450 GLS450","$134,485",NA,FALSE
"275","2024 Nissan Sentra S Plus","$26,898",NA,FALSE
"276","2024 Nissan Sentra S Plus","$26,898",NA,FALSE
"277","2024 Nissan Sentra S PLUS","$26,905",NA,FALSE
"278","2024 Kia Seltos LX | Blindspot Alert | 8inch Display | Heated Seat","$26,945",NA,FALSE
"279","2024 Nissan Sentra S PLUS","$27,005",NA,FALSE
"280","2024 Nissan Sentra S PLUS","$27,005",NA,FALSE
"281","2024 Nissan Sentra S PLUS","$27,046",NA,FALSE
"282","2024 Nissan Sentra S PLUS","$27,046",NA,FALSE
"283","2024 Nissan Kicks SV","$27,078",NA,FALSE
"284","2023 BMW 3 Series 330i xDrive NA BMW SALES EVENT  LIMITED TIME OFFER","$50,357",NA,FALSE
"285","2024 Nissan Sentra S Plus CVT","$27,098",NA,FALSE
"286","2024 Nissan Sentra S Plus","$27,103",NA,FALSE
"287","2024 Nissan Sentra S Plus","$27,148",NA,FALSE
"288","2024 Nissan Sentra S Plus","$27,148",NA,FALSE
"289","2024 Nissan Sentra S Plus","$27,148",NA,FALSE
"290","2024 Mitsubishi RVR ES FWD","$27,148",NA,FALSE
"291","2024 Nissan Sentra  S PLUS","$27,153",NA,FALSE
"292","2024 Nissan Sentra S PLUS","$27,153",NA,FALSE
"293","2024 Nissan Sentra S PLUS","$27,153",NA,FALSE
"294","2024 Ram 1500 Classic Warlock | Heat | Rmt Strt | Luxury | Elec Conv Grp","$60,996",NA,FALSE
"295","2024 Nissan Sentra S PLUS","$27,153",NA,FALSE
"296","2024 Nissan Sentra S PLUS","$27,153",NA,FALSE
"297","2024 Nissan Sentra S PLUS","$27,153",NA,FALSE
"298","2024 Nissan Sentra S PLUS","$27,153",NA,FALSE
"299","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"300","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"301","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"302","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"303","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"304","2024 Jeep Grand Cherokee Summit","$79,142",NA,FALSE
"305","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"306","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"307","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"308","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"309","2024 Nissan Kicks SV FWD","$27,228",NA,FALSE
"310","2024 Nissan Kicks SV  - Heated Seats -  Apple CarPlay - $179 B/W SV","$27,328",NA,FALSE
"311","2024 Nissan Kicks SV  - Heated Seats -  Apple CarPlay - $179 B/W SV","$27,328",NA,FALSE
"312","2024 Nissan Kicks SV","$27,328",NA,FALSE
"313","2024 Nissan Kicks SV","$27,328",NA,FALSE
"314","2024 Mercedes-Benz GLB GLB35 AMG","$77,665",NA,FALSE
"315","2024 Hyundai Venue Ultimate","$27,420",NA,FALSE
"316","2024 Kia Seltos LX | Tech & Value Purchase | 427/QEW Kia","$27,445",NA,FALSE
"317","2024 Kia Seltos LX | Tech & Value Purchase | 427/QEW Kia","$27,445",NA,FALSE
"318","2023 Hyundai Kona Essential","$27,560",NA,FALSE
"319","2024 Hyundai Venue Ultimate w/Black Interior (IVT) ULTIMATE/SUNROOF/B","$27,580",NA,FALSE
"320","2024 Nissan Sentra SV","$27,598",NA,FALSE
"321","2024 Hyundai Venue Ultimate IVT w/Black Interior","$27,674",NA,FALSE
"322","2024 Mitsubishi RVR ES FWD","$27,674",NA,FALSE
"323","2024 Mitsubishi RVR ES AWC| APPLE CARPLAY/ANDROID AUTO| HEATED SEATS","$27,674",NA,FALSE
"324","2024 BMW X3 XDrive30e BMW SALES EVENT  LIMITED TIME OFFER","$64,357",NA,FALSE
"325","2024 Mitsubishi RVR ES AWC","$27,683",NA,FALSE
"326","2024 Hyundai Venue Ultimate IVT w/Black Interior","$27,686",NA,FALSE
"327","2024 Hyundai Venue Ultimate IVT w/Black Interior","$27,686",NA,FALSE
"328","2024 Kia Seltos LX | Blindspot Alert | 8inch Display | Heated Seat","$27,695",NA,FALSE
"329","2024 Hyundai Venue","$27,699",NA,FALSE
"330","2024 Hyundai Venue Ultimate IVT w-Denim Interior","$27,699",NA,FALSE
"331","2024 Hyundai Venue Ultimate IVT w-Black Interior","$27,699",NA,FALSE
"332","2024 Hyundai Venue Ultimate IVT w-Black Interior","$27,699",NA,FALSE
"333","2024 Hyundai Venue Ultimate w/Black Interior (IVT)","$27,699",NA,FALSE
"334","2024 BMW 8 Series Coupé M850i xDrive BMW SALES EVENT  HUGE DISCOUNT","$123,149",NA,FALSE
"335","2024 Nissan Kicks SV","$27,735",NA,FALSE
"336","2024 Nissan Kicks SV FWD","$27,750",NA,FALSE
"337","2024 Hyundai Venue Ultimate w/Black Interior (IVT) ULTIMATE/APPLE CAR","$27,830",NA,FALSE
"338","2024 Nissan Kicks SV FWD","$27,862",NA,FALSE
"339","2024 Nissan Kicks SV FWD","$27,862",NA,FALSE
"340","2024 Hyundai Elantra Preferred w/Tech Package","$27,874",NA,FALSE
"341","2024 Nissan Kicks SV","$27,926",NA,FALSE
"342","2024 Nissan Kicks SV","$27,926",NA,FALSE
"343","2024 Nissan Kicks SV","$27,926",NA,FALSE
"344","2024 Ram 2500 BIG HORN CREW 4X4 | CUMMINS DIESEL | OFF ROAD PKG","$83,100",NA,FALSE
"345","2024 Nissan Kicks SV","$27,926",NA,FALSE
"346","2024 Mitsubishi RVR ES FWD| HEATED SEATS| APPLE CARPLAY/ANDROID AUTO","$27,974",NA,FALSE
"347","2024 Mitsubishi RVR ES FWD| HEATED SEATS| APPLE CARPLAY/ANDROID AUTO","$27,974",NA,FALSE
"348","2024 Nissan Kicks SV FWD","$27,978",NA,FALSE
"349","2024 Nissan Kicks","$27,984",NA,FALSE
"350","2024 Nissan Kicks","$27,984",NA,FALSE
"351","2024 Nissan Kicks","$27,984",NA,FALSE
"352","2024 Nissan Kicks SV","$27,985",NA,FALSE
"353","2024 Hyundai Kona ESSENTIAL AWD","$27,999",NA,FALSE
"354","2024 Mercedes-Benz C300 C300","$75,315",NA,FALSE
"355","2024 Nissan Kicks SV FWD","$28,112",NA,FALSE
"356","2024 Nissan Kicks SV FWD","$28,112",NA,FALSE
"357","2024 Nissan Kicks SV FWD","$28,112",NA,FALSE
"358","2024 Nissan Kicks SV FWD","$28,112",NA,FALSE
"359","2024 Nissan Kicks SV FWD","$28,112",NA,FALSE
"360","2024 Nissan Kicks SV FWD","$28,112",NA,FALSE
